Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
12-21-2022-22-27-16.814,3, 0.1249377,0.036668,15084, Foreign,
12-21-2022-22-27-15.896,3, 1.1144634,0.035692,6348, Foreign,
12-21-2022-22-27-16.914,3, 0.1194838,0.038984,15084, Foreign,
12-21-2022-22-27-17.020,3, 0.11171,0.037421,15084, Foreign,
12-21-2022-22-27-17.120,3, 0.1050389,0.032362,15084, Foreign,
12-21-2022-22-27-16.108,3, 1.1871788,0.034854,6348, Foreign,
12-21-2022-22-27-17.221,3, 0.114733,0.0358,15084, Foreign,
12-21-2022-22-27-16.309,3, 1.1141891,0.032752,6348, Foreign,
12-21-2022-22-27-17.321,3, 0.1636201,0.038854,15084, Foreign,
12-21-2022-22-27-17.421,3, 0.1123314,0.037974,15084, Foreign,
12-21-2022-22-27-15.593,3, 2.0228963,0.038364,1980, Foreign,
12-21-2022-22-27-17.522,3, 0.2270501,0.045346,15084, Foreign,
12-21-2022-22-27-17.724,3, 0.1164446,0.03773,15084, Foreign,
12-21-2022-22-27-17.925,3, 0.1239705,0.045055,15084, Foreign,
12-21-2022-22-27-17.622,3, 0.4813625,0.041947,15084, Foreign,
12-21-2022-22-27-18.026,3, 0.107758,0.037236,15084, Foreign,
12-21-2022-22-27-18.226,3, 0.1061113,0.035451,15084, Foreign,
12-21-2022-22-27-18.126,3, 0.3976821,0.035485,15084, Foreign,
12-21-2022-22-27-18.433,3, 0.1182321,0.037207,15084, Foreign,
12-21-2022-22-27-18.534,3, 0.1272192,0.040386,15084, Foreign,
12-21-2022-22-27-18.734,3, 0.1041857,0.035148,15084, Foreign,
12-21-2022-22-27-19.050,3, 0.1092523,0.033903,15084, Foreign,
12-21-2022-22-27-17.824,3, 1.4047014,0.035539,6348, Foreign,
12-21-2022-22-27-19.150,3, 0.1119103,0.033551,15084, Foreign,
12-21-2022-22-27-19.251,3, 0.1665154,0.037692,15084, Foreign,
12-21-2022-22-27-18.331,3, 1.1128831,0.035177,6348, Foreign,
12-21-2022-22-27-19.659,3, 0.112289,0.037817,15084, Foreign,
12-21-2022-22-27-18.634,3, 1.1687977,0.033839,6348, Foreign,
12-21-2022-22-27-19.759,3, 0.1205977,0.038733,15084, Foreign,
12-21-2022-22-27-18.835,3, 1.1211509,0.036541,6348, Foreign,
12-21-2022-22-27-19.559,3, 0.4715224,0.037525,15084, Foreign,
12-21-2022-22-27-19.355,3, 0.7515392,0.031644,15084, Foreign,
12-21-2022-22-27-20.063,3, 0.1143281,0.037802,15084, Foreign,
12-21-2022-22-27-18.939,3, 1.4104141000000001,0.038642,6348, Foreign,
12-21-2022-22-27-19.963,3, 0.4403425,0.035239,15084, Foreign,
12-21-2022-22-27-19.455,3, 0.9952842,0.040171,15084, Foreign,
12-21-2022-22-27-20.371,3, 0.1212988,0.038075,15084, Foreign,
12-21-2022-22-27-19.860,3, 0.6550845,0.043685,15084, Foreign,
12-21-2022-22-27-20.481,3, 0.1292308,0.043125,15084, Foreign,
12-21-2022-22-27-20.267,3, 0.4008915,0.039666,15084, Foreign,
12-21-2022-22-27-20.584,3, 0.1407758,0.045954,15084, Foreign,
12-21-2022-22-27-20.684,3, 0.1120211,0.039456,15084, Foreign,
12-21-2022-22-27-20.787,3, 0.1421965,0.036852,15084, Foreign,
12-21-2022-22-27-21.088,3, 0.1515495,0.037976,15084, Foreign,
12-21-2022-22-27-20.987,3, 0.2517661,0.039592,15084, Foreign,
12-21-2022-22-27-21.390,3, 0.0996619,0.032998,15084, Foreign,
12-21-2022-22-27-21.597,3, 0.1075423,0.034592,15084, Foreign,
12-21-2022-22-27-21.490,3, 0.3719684,0.035421,15084, Foreign,
12-21-2022-22-27-21.798,3, 0.0950545,0.030312,15084, Foreign,
12-21-2022-22-27-21.898,3, 0.0902361,0.029461,15084, Foreign,
