Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
12-21-2022-22-27-15.291,1, 0.0588148,0.03634,1170432, SelfUp,
12-21-2022-22-27-15.391,1, 0.0740143,0.037892,1170432, SelfUp,
12-21-2022-22-27-15.493,1, 0.0916756,0.039803,1170432, SelfUp,
12-21-2022-22-27-15.291,1, 0.375126,0.041321,122575, SelfDown,
12-21-2022-22-27-15.391,1, 0.2750841,0.041321,122575, SelfDown,
12-21-2022-22-27-15.493,1, 0.1742543,0.041321,122575, SelfDown,
12-21-2022-22-27-15.593,1, 0.0786386,0.040553,1170432, SelfUp,
12-21-2022-22-27-15.593,1, 0.0911839,0.041321,122575, SelfDown,
12-21-2022-22-27-15.694,1, 0.0404558,0.041337,1170432, SelfUp,
12-21-2022-22-27-15.694,1, 0.1339216,0.04337,85808, SelfDown,
12-21-2022-22-27-15.796,1, 0.0415845,0.039456,1170432, SelfUp,
12-21-2022-22-27-15.896,1, 0.0496971,0.045105,1170432, SelfUp,
12-21-2022-22-27-15.796,1, 0.1713848,0.041848,85825, SelfDown,
12-21-2022-22-27-15.998,1, 0.0374908,0.036618,1170432, SelfUp,
12-21-2022-22-27-15.896,1, 0.1500859,0.039832,85828, SelfDown,
12-21-2022-22-27-15.998,1, 0.0795207,0.041473,85830, SelfDown,
12-21-2022-22-27-16.108,1, 0.0838306,0.037463,1170432, SelfUp,
12-21-2022-22-27-16.108,1, 0.124115,0.03739,85843, SelfDown,
12-21-2022-22-27-16.209,1, 0.0390555,0.037868,1170432, SelfUp,
12-21-2022-22-27-16.209,1, 0.0799188,0.032791,85900, SelfDown,
12-21-2022-22-27-16.309,1, 0.0964023,0.045087,88042, SelfDown,
12-21-2022-22-27-16.309,1, 0.0975363,0.033583,1170432, SelfUp,
12-21-2022-22-27-16.410,1, 0.0407664,0.036191,1170432, SelfUp,
12-21-2022-22-27-16.410,1, 0.1059488,0.040916,88207, SelfDown,
12-21-2022-22-27-16.511,1, 0.0680478,0.035343,1170432, SelfUp,
12-21-2022-22-27-16.511,1, 0.1025263,0.037122,88621, SelfDown,
12-21-2022-22-27-16.611,1, 0.0356814,0.035271,1170432, SelfUp,
12-21-2022-22-27-16.611,1, 0.1187778,0.039887,89128, SelfDown,
12-21-2022-22-27-16.714,1, 0.0357777,0.037144,1170432, SelfUp,
12-21-2022-22-27-16.714,1, 0.0923796,0.03828,89642, SelfDown,
12-21-2022-22-27-16.814,1, 0.0349189,0.03603,1170432, SelfUp,
12-21-2022-22-27-16.814,1, 0.0723815,0.03681,96382, SelfDown,
12-21-2022-22-27-16.914,1, 0.0751494,0.044725,1170432, SelfUp,
12-21-2022-22-27-16.914,1, 0.0851469,0.038483,96390, SelfDown,
12-21-2022-22-27-17.020,1, 0.0373175,0.043775,1170432, SelfUp,
12-21-2022-22-27-17.020,1, 0.1462807,0.0375,100478, SelfDown,
12-21-2022-22-27-17.120,1, 0.0511874,0.0375,100478, SelfDown,
12-21-2022-22-27-17.120,1, 0.0622963,0.042169,1170432, SelfUp,
12-21-2022-22-27-17.221,1, 0.0513,0.036943,1170432, SelfUp,
12-21-2022-22-27-17.221,1, 0.0889324,0.034268,107680, SelfDown,
12-21-2022-22-27-17.321,1, 0.0368534,0.037283,1170432, SelfUp,
12-21-2022-22-27-17.321,1, 0.054745,0.034852,108270, SelfDown,
12-21-2022-22-27-17.421,1, 0.0391403,0.03842,1170432, SelfUp,
12-21-2022-22-27-17.421,1, 0.1479967,0.041109,75808, SelfDown,
12-21-2022-22-27-17.522,1, 0.0955651,0.041427,1170432, SelfUp,
12-21-2022-22-27-17.522,1, 0.1028814,0.037787,75814, SelfDown,
12-21-2022-22-27-17.622,1, 0.1063448,0.037877,1170432, SelfUp,
12-21-2022-22-27-17.622,1, 0.1294761,0.039547,53073, SelfDown,
12-21-2022-22-27-17.724,1, 0.0379812,0.037914,1170432, SelfUp,
12-21-2022-22-27-17.724,1, 0.1164446,0.039161,53081, SelfDown,
12-21-2022-22-27-17.824,1, 0.1626542,0.038981,53088, SelfDown,
12-21-2022-22-27-17.925,1, 0.1063122,0.039881,53094, SelfDown,
12-21-2022-22-27-18.026,1, 0.0619378,0.050837,1170432, SelfUp,
12-21-2022-22-27-17.824,1, 0.2631318,0.050837,1170432, SelfUp,
12-21-2022-22-27-17.925,1, 0.1622828,0.050837,1170432, SelfUp,
12-21-2022-22-27-18.026,1, 0.1083469,0.035885,53157, SelfDown,
12-21-2022-22-27-18.126,1, 0.0338078,0.038668,1170432, SelfUp,
12-21-2022-22-27-18.126,1, 0.0370998,0.035511,53178, SelfDown,
12-21-2022-22-27-18.226,1, 0.0366906,0.039099,1170432, SelfUp,
12-21-2022-22-27-18.226,1, 0.2177205,0.035491,59158, SelfDown,
12-21-2022-22-27-18.331,1, 0.162192,0.047218,1170432, SelfUp,
12-21-2022-22-27-18.433,1, 0.0598438,0.047218,1170432, SelfUp,
12-21-2022-22-27-18.331,1, 0.1634933,0.037954,60532, SelfDown,
12-21-2022-22-27-18.433,1, 0.0925528,0.037954,60532, SelfDown,
12-21-2022-22-27-18.534,1, 0.0582621,0.047075,1170432, SelfUp,
12-21-2022-22-27-18.534,1, 0.122034,0.039975,42375, SelfDown,
12-21-2022-22-27-18.634,1, 0.1829053,0.047075,819302, SelfUp,
12-21-2022-22-27-18.734,1, 0.0822497,0.047075,819302, SelfUp,
12-21-2022-22-27-18.634,1, 0.3592135,0.039029,42382, SelfDown,
12-21-2022-22-27-18.734,1, 0.2585579,0.039029,42382, SelfDown,
12-21-2022-22-27-18.835,1, 0.2376948,0.039415,42391, SelfDown,
12-21-2022-22-27-18.939,1, 0.1418005,0.03833,42415, SelfDown,
12-21-2022-22-27-19.050,1, 0.071698,0.032041,44873, SelfDown,
12-21-2022-22-27-18.835,1, 0.3488266,0.042883,819798, SelfUp,
12-21-2022-22-27-18.939,1, 0.2787247,0.042537,819933, SelfUp,
12-21-2022-22-27-19.050,1, 0.1676944,0.042537,819933, SelfUp,
12-21-2022-22-27-19.150,1, 0.0675279,0.042537,819933, SelfUp,
12-21-2022-22-27-19.150,1, 0.0781964,0.034039,45990, SelfDown,
12-21-2022-22-27-19.251,1, 0.0378313,0.038617,821929, SelfUp,
12-21-2022-22-27-19.251,1, 0.0773407,0.037235,33511, SelfDown,
12-21-2022-22-27-19.355,1, 0.0326053,0.037079,823816, SelfUp,
12-21-2022-22-27-19.355,1, 0.0926176,0.036012,33530, SelfDown,
12-21-2022-22-27-19.455,1, 0.0789817,0.037659,824327, SelfUp,
12-21-2022-22-27-19.455,1, 0.1225068,0.035784,33964, SelfDown,
12-21-2022-22-27-19.559,1, 0.0370626,0.038253,825469, SelfUp,
12-21-2022-22-27-19.659,1, 0.0387859,0.039152,828430, SelfUp,
12-21-2022-22-27-19.559,1, 0.1654679,0.035802,37197, SelfDown,
12-21-2022-22-27-19.659,1, 0.1006234,0.035574,38182, SelfDown,
12-21-2022-22-27-19.759,1, 0.1416299,0.036364,40713, SelfDown,
12-21-2022-22-27-19.860,1, 0.1169381,0.036561,41587, SelfDown,
12-21-2022-22-27-19.963,1, 0.1602101,0.037207,44823, SelfDown,
12-21-2022-22-27-19.759,1, 0.4137258,0.038561,832278, SelfUp,
12-21-2022-22-27-19.860,1, 0.3132345,0.038561,832278, SelfUp,
12-21-2022-22-27-20.063,1, 0.1787915,0.036861,46807, SelfDown,
12-21-2022-22-27-19.963,1, 0.2799526,0.03747,834149, SelfUp,
12-21-2022-22-27-20.063,1, 0.1797914,0.03747,834149, SelfUp,
12-21-2022-22-27-20.163,1, 0.0797123,0.03747,834149, SelfUp,
12-21-2022-22-27-20.163,1, 0.1156605,0.036277,48451, SelfDown,
12-21-2022-22-27-20.267,1, 0.0766585,0.037854,834427, SelfUp,
12-21-2022-22-27-20.267,1, 0.1319434,0.036738,50031, SelfDown,
12-21-2022-22-27-20.371,1, 0.0382839,0.040205,836148, SelfUp,
12-21-2022-22-27-20.481,1, 0.0866134,0.041455,839631, SelfUp,
12-21-2022-22-27-20.371,1, 0.2364877,0.038235,52113, SelfDown,
12-21-2022-22-27-20.481,1, 0.1280542,0.038235,52113, SelfDown,
12-21-2022-22-27-20.584,1, 0.0510823,0.042559,840547, SelfUp,
12-21-2022-22-27-20.684,1, 0.0749797,0.041039,842706, SelfUp,
12-21-2022-22-27-20.584,1, 0.184206,0.038983,38739, SelfDown,
12-21-2022-22-27-20.684,1, 0.1166657,0.038983,38739, SelfDown,
12-21-2022-22-27-20.787,1, 0.0350718,0.038754,844301, SelfUp,
12-21-2022-22-27-20.787,1, 0.1319889,0.038885,39664, SelfDown,
12-21-2022-22-27-20.887,1, 0.0350643,0.03857,849418, SelfUp,
12-21-2022-22-27-20.887,1, 0.1138616,0.038565,40310, SelfDown,
12-21-2022-22-27-20.987,1, 0.0712372,0.038493,851359, SelfUp,
12-21-2022-22-27-20.987,1, 0.1187214,0.037475,40686, SelfDown,
12-21-2022-22-27-21.088,1, 0.0404843,0.038403,854011, SelfUp,
12-21-2022-22-27-21.189,1, 0.0882646,0.035731,861261, SelfUp,
12-21-2022-22-27-21.088,1, 0.1944597,0.035558,47753, SelfDown,
12-21-2022-22-27-21.189,1, 0.1090155,0.035558,47753, SelfDown,
12-21-2022-22-27-21.289,1, 0.0399842,0.037539,862926, SelfUp,
12-21-2022-22-27-21.289,1, 0.124692,0.037147,49618, SelfDown,
12-21-2022-22-27-21.390,1, 0.0357218,0.037246,864270, SelfUp,
12-21-2022-22-27-21.390,1, 0.0950975,0.034263,52306, SelfDown,
12-21-2022-22-27-21.490,1, 0.0655052,0.036956,865291, SelfUp,
12-21-2022-22-27-21.490,1, 0.1636202,0.033985,55813, SelfDown,
12-21-2022-22-27-21.597,1, 0.065047,0.035459,867383, SelfUp,
12-21-2022-22-27-21.597,1, 0.1541946,0.035576,57731, SelfDown,
12-21-2022-22-27-21.698,1, 0.0693774,0.036584,870210, SelfUp,
12-21-2022-22-27-21.798,1, 0.0307057,0.036038,871637, SelfUp,
12-21-2022-22-27-21.698,1, 0.1592189,0.034626,60137, SelfDown,
12-21-2022-22-27-21.798,1, 0.0606257,0.034626,60137, SelfDown,
12-21-2022-22-27-21.898,1, 0.0295627,0.031898,878334, SelfUp,
12-21-2022-22-27-21.898,1, 0.0764188,0.037515,42734, SelfDown,
12-21-2022-22-27-21.998,1, 0.0350839,0.031276,885949, SelfUp,
12-21-2022-22-27-21.998,1, 0.0513678,0.033342,44060, SelfDown,
12-21-2022-22-27-22.099,1, 0.0393023,0.038613,889719, SelfUp,
12-21-2022-22-27-22.099,1, 0.0553259,0.039601,45556, SelfDown,
12-21-2022-22-27-22.199,1, 0.0430421,0.045647,893139, SelfUp,
12-21-2022-22-27-22.199,1, 0.1243487,0.043346,46858, SelfDown,
12-21-2022-22-27-22.300,1, 0.0706751,0.041163,895190, SelfUp,
12-21-2022-22-27-22.402,1, 0.0362178,0.038953,897269, SelfUp,
12-21-2022-22-27-22.300,1, 0.1466855,0.038198,51562, SelfDown,
12-21-2022-22-27-22.503,1, 0.0416813,0.038577,903777, SelfUp,
12-21-2022-22-27-22.402,1, 0.211743,0.039234,54082, SelfDown,
