Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., The underlying connection of the probe., 
12-21-2022-23-05-22.877,1, 0.0232282,0.03403,27892, SelfDown,1, 
12-21-2022-23-05-22.877,1, 0.0239077,0.026537,1170432, SelfUp,1, 
12-21-2022-23-05-22.877,1, 0.0245419,0.029175,327460, SelfUp,2, 
12-21-2022-23-05-22.774,1, 0.1441112,0.028545,1170432, SelfUp,0, 
12-21-2022-23-05-22.877,1, 0.0420124,0.028545,1170432, SelfUp,0, 
12-21-2022-23-05-22.877,1, 0.090105,0.033156,19278, SelfDown,2, 
12-21-2022-23-05-22.978,1, 0.0399985,0.035923,1170432, SelfUp,1, 
12-21-2022-23-05-22.978,1, 0.0420694,0.035321,353624, SelfUp,2, 
12-21-2022-23-05-22.978,1, 0.052195,0.038522,1170432, SelfUp,0, 
12-21-2022-23-05-22.978,1, 0.0842893,0.033766,20432, SelfDown,2, 
12-21-2022-23-05-22.978,1, 0.0864652,0.035023,60579, SelfDown,0, 
12-21-2022-23-05-22.978,1, 0.146957,0.034291,33085, SelfDown,1, 
12-21-2022-23-05-23.083,1, 0.0787489,0.034291,33085, SelfDown,1, 
12-21-2022-23-05-23.083,1, 0.0955989,0.037746,385583, SelfUp,2, 
12-21-2022-23-05-23.083,1, 0.1197054,0.038241,1170432, SelfUp,0, 
12-21-2022-23-05-23.083,1, 0.1294373,0.032035,60622, SelfDown,0, 
12-21-2022-23-05-23.083,1, 0.1694482,0.034418,24781, SelfDown,2, 
12-21-2022-23-05-23.191,1, 0.0656698,0.039597,1170432, SelfUp,0, 
12-21-2022-23-05-23.191,1, 0.085533,0.038362,397643, SelfUp,2, 
12-21-2022-23-05-23.191,1, 0.1010726,0.034266,35856, SelfDown,1, 
12-21-2022-23-05-23.191,1, 0.1186609,0.028694,60634, SelfDown,0, 
12-21-2022-23-05-23.191,1, 0.179103,0.033339,28531, SelfDown,2, 
12-21-2022-23-05-23.291,1, 0.0936896,0.04748,410761, SelfUp,2, 
12-21-2022-23-05-23.291,1, 0.1005565,0.047326,1170432, SelfUp,0, 
12-21-2022-23-05-23.291,1, 0.1320934,0.031686,29985, SelfDown,2, 
12-21-2022-23-05-23.291,1, 0.1331427,0.029465,42807, SelfDown,1, 
12-21-2022-23-05-23.392,1, 0.0457343,0.040648,418305, SelfUp,2, 
12-21-2022-23-05-23.392,1, 0.0457343,0.046073,1170432, SelfUp,0, 
12-21-2022-23-05-23.392,1, 0.0525442,0.041449,108276, SelfUp,3, 
12-21-2022-23-05-23.392,1, 0.0772877,0.036387,42816, SelfDown,1, 
12-21-2022-23-05-23.291,1, 0.1794317,0.038299,42724, SelfDown,0, 
12-21-2022-23-05-23.392,1, 0.0809636,0.038299,42724, SelfDown,0, 
12-21-2022-23-05-23.392,1, 0.0968665,0.033457,20990, SelfDown,2, 
12-21-2022-23-05-23.392,1, 0.0975327,0.035896,14560, SelfDown,3, 
12-21-2022-23-05-23.494,1, 0.0378802,0.033921,437401, SelfUp,2, 
12-21-2022-23-05-23.494,1, 0.0378802,0.037906,184866, SelfUp,3, 
12-21-2022-23-05-23.191,1, 0.3566684,0.045837,1170432, SelfUp,1, 
