Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., The underlying connection of the probe., 
12-21-2022-23-05-28.416,1, 0.0429619,0.037451,738048, SelfUp,5, 
12-21-2022-23-05-28.315,1, 0.1582431,0.034967,55785, SelfDown,7, 
12-21-2022-23-05-28.215,1, 0.2608594,0.035197,62719, SelfDown,4, 
12-21-2022-23-05-28.215,1, 0.2659102,0.035571,17249, SelfDown,6, 
12-21-2022-23-05-28.315,1, 0.1760522,0.038221,481510, SelfUp,4, 
12-21-2022-23-05-28.416,1, 0.0744769,0.038221,481510, SelfUp,4, 
12-21-2022-23-05-28.517,1, 0.0365823,0.035732,844535, SelfUp,7, 
12-21-2022-23-05-28.416,1, 0.1381511,0.033957,65520, SelfDown,7, 
12-21-2022-23-05-28.517,1, 0.0384766,0.037635,1170432, SelfUp,1, 
12-21-2022-23-05-28.517,1, 0.0384766,0.03667,738048, SelfUp,5, 
12-21-2022-23-05-28.517,1, 0.0384766,0.0381,483265, SelfUp,4, 
12-21-2022-23-05-28.315,1, 0.254723,0.036142,85913, SelfDown,0, 
12-21-2022-23-05-28.416,1, 0.1531477,0.036142,85913, SelfDown,0, 
12-21-2022-23-05-28.315,1, 0.2636877,0.036478,15449, SelfDown,8, 
12-21-2022-23-05-28.517,1, 0.0738315,0.034474,65520, SelfDown,7, 
12-21-2022-23-05-28.315,1, 0.2777853,0.036421,65407, SelfDown,5, 
12-21-2022-23-05-28.416,1, 0.17621,0.036421,65407, SelfDown,5, 
12-21-2022-23-05-28.315,1, 0.2790863,0.036081,90368, SelfDown,2, 
12-21-2022-23-05-28.315,1, 0.2813788,0.036486,19006, SelfDown,6, 
12-21-2022-23-05-28.416,1, 0.1798035,0.036486,19006, SelfDown,6, 
12-21-2022-23-05-28.416,1, 0.181871,0.036081,90368, SelfDown,2, 
12-21-2022-23-05-28.315,1, 0.2881118,0.03901,29362, SelfDown,1, 
12-21-2022-23-05-28.416,1, 0.1889655,0.03901,29362, SelfDown,1, 
12-21-2022-23-05-28.517,1, 0.0894728,0.03901,29362, SelfDown,1, 
12-21-2022-23-05-28.416,1, 0.2052442,0.03668,65520, SelfDown,3, 
12-21-2022-23-05-28.315,1, 0.3068195,0.03668,65520, SelfDown,3, 
12-21-2022-23-05-28.517,1, 0.1139748,0.036351,87639, SelfDown,0, 
12-21-2022-23-05-28.315,1, 0.317007,0.03538,64576, SelfDown,4, 
12-21-2022-23-05-28.416,1, 0.2154317,0.03538,64576, SelfDown,4, 
12-21-2022-23-05-28.618,1, 0.0426059,0.037716,738048, SelfUp,5, 
12-21-2022-23-05-28.618,1, 0.0487705,0.038275,1170432, SelfUp,1, 
12-21-2022-23-05-28.517,1, 0.1812012,0.036226,65520, SelfDown,4, 
12-21-2022-23-05-28.517,1, 0.1853446,0.037231,65520, SelfDown,5, 
12-21-2022-23-05-28.215,1, 0.4920194,0.039865,65520, SelfDown,3, 
12-21-2022-23-05-28.517,1, 0.1925627,0.036814,21918, SelfDown,6, 
12-21-2022-23-05-28.618,1, 0.11528,0.032597,67328, SelfDown,7, 
12-21-2022-23-05-28.517,1, 0.2234032,0.037707,90368, SelfDown,2, 
12-21-2022-23-05-28.416,1, 0.3325927,0.03913,16186, SelfDown,8, 
12-21-2022-23-05-28.618,1, 0.1405366,0.038137,32772, SelfDown,1, 
12-21-2022-23-05-28.722,1, 0.0375672,0.037126,738048, SelfUp,5, 
12-21-2022-23-05-28.517,1, 0.1430377,0.034638,67500, SelfUp,8, 
12-21-2022-23-05-28.618,1, 0.1430377,0.034638,67500, SelfUp,8, 
12-21-2022-23-05-28.416,1, 0.1430377,0.034638,67500, SelfUp,8, 
12-21-2022-23-05-28.315,1, 0.1430377,0.034638,67500, SelfUp,8, 
12-21-2022-23-05-28.722,1, 0.0513756,0.034638,67500, SelfUp,8, 
12-21-2022-23-05-28.114,1, 0.1519744,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-28.215,1, 0.1519744,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-28.014,1, 0.1519744,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-28.618,1, 0.1519744,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-27.914,1, 0.1519744,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-27.201,1, 0.1519744,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-28.315,1, 0.1519744,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-27.502,1, 0.1519744,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-28.517,1, 0.1519744,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-28.416,1, 0.1519744,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-27.096,1, 0.1519744,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-27.402,1, 0.152489,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-26.988,1, 0.1525053,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-27.706,1, 0.1525053,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-27.302,1, 0.1525053,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-26.682,1, 0.1525053,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-26.884,1, 0.1525053,0.038406,65520, SelfUp,6, 
12-21-2022-23-05-28.722,1, 0.0757974,0.038755,933716, SelfUp,7, 
12-21-2022-23-05-28.618,1, 0.1801252,0.038755,933716, SelfUp,7, 
12-21-2022-23-05-26.466,1, 0.212556,0.040094,114862, SelfUp,6, 
12-21-2022-23-05-26.783,1, 0.212556,0.040094,114862, SelfUp,6, 
12-21-2022-23-05-27.813,1, 0.212556,0.040094,114862, SelfUp,6, 
12-21-2022-23-05-26.362,1, 0.212556,0.040094,114862, SelfUp,6, 
12-21-2022-23-05-26.570,1, 0.212556,0.040094,114862, SelfUp,6, 
12-21-2022-23-05-27.602,1, 0.212556,0.040094,114862, SelfUp,6, 
12-21-2022-23-05-28.722,1, 0.1283252,0.040094,114862, SelfUp,6, 
12-21-2022-23-05-28.618,1, 0.2429594,0.035293,92938, SelfDown,0, 
12-21-2022-23-05-28.828,1, 0.0337048,0.035876,738048, SelfUp,5, 
12-21-2022-23-05-28.828,1, 0.0337048,0.040465,979311, SelfUp,7, 
12-21-2022-23-05-28.722,1, 0.1591363,0.0376,36188, SelfDown,1, 
12-21-2022-23-05-28.722,1, 0.163366,0.034522,68608, SelfDown,7, 
12-21-2022-23-05-28.828,1, 0.0594244,0.040657,122211, SelfUp,6, 
12-21-2022-23-05-28.618,1, 0.2715649,0.036373,65520, SelfDown,5, 
12-21-2022-23-05-28.618,1, 0.2720699,0.035676,25794, SelfDown,6, 
12-21-2022-23-05-28.618,1, 0.2721821,0.034694,65520, SelfDown,4, 
12-21-2022-23-05-28.722,1, 0.1678543,0.034694,65520, SelfDown,4, 
12-21-2022-23-05-28.828,1, 0.0637403,0.034837,95591, SelfUp,8, 
12-21-2022-23-05-28.828,1, 0.0691145,0.034522,68608, SelfDown,7, 
12-21-2022-23-05-28.722,1, 0.1795838,0.036373,65520, SelfDown,5, 
12-21-2022-23-05-28.722,1, 0.1795838,0.035676,25794, SelfDown,6, 
12-21-2022-23-05-28.618,1, 0.2854765,0.037105,93440, SelfDown,2, 
12-21-2022-23-05-28.722,1, 0.1811487,0.037105,93440, SelfDown,2, 
12-21-2022-23-05-28.722,1, 0.1855073,0.031184,101185, SelfDown,0, 
12-21-2022-23-05-28.828,1, 0.0810878,0.031184,101185, SelfDown,0, 
12-21-2022-23-05-28.517,1, 0.3921427,0.036719,16820, SelfDown,8, 
12-21-2022-23-05-28.618,1, 0.2913431,0.036719,16820, SelfDown,8, 
12-21-2022-23-05-28.722,1, 0.1870153,0.036719,16820, SelfDown,8, 
12-21-2022-23-05-28.517,1, 0.3929113,0.038828,65520, SelfDown,3, 
12-21-2022-23-05-28.114,1, 0.7963191,0.037722,737792, SelfUp,2, 
12-21-2022-23-05-28.828,1, 0.0835368,0.034694,65520, SelfDown,4, 
12-21-2022-23-05-28.828,1, 0.0873496,0.03534,38229, SelfDown,1, 
12-21-2022-23-05-28.315,1, 0.6304536,0.037722,737792, SelfUp,2, 
12-21-2022-23-05-28.416,1, 0.5288783,0.037722,737792, SelfUp,2, 
12-21-2022-23-05-28.215,1, 0.7306242,0.037722,737792, SelfUp,2, 
12-21-2022-23-05-28.517,1, 0.4284635,0.037722,737792, SelfUp,2, 
12-21-2022-23-05-28.618,1, 0.3276639,0.037722,737792, SelfUp,2, 
12-21-2022-23-05-28.722,1, 0.2233361,0.037722,737792, SelfUp,2, 
12-21-2022-23-05-28.828,1, 0.1174086,0.037722,737792, SelfUp,2, 
12-21-2022-23-05-28.618,1, 0.3374021,0.037085,488765, SelfUp,4, 
12-21-2022-23-05-28.930,1, 0.0376113,0.037387,131055, SelfUp,8, 
12-21-2022-23-05-28.930,1, 0.0390794,0.036464,1124203, SelfUp,7, 
12-21-2022-23-05-28.930,1, 0.0390794,0.037213,737792, SelfUp,2, 
12-21-2022-23-05-28.722,1, 0.2695271,0.037633,489117, SelfUp,4, 
12-21-2022-23-05-28.930,1, 0.0612781,0.037633,489117, SelfUp,4, 
12-21-2022-23-05-28.828,1, 0.1635996,0.037633,489117, SelfUp,4, 
12-21-2022-23-05-28.828,1, 0.1707154,0.0371,65520, SelfDown,5, 
12-21-2022-23-05-28.828,1, 0.2198198,0.036583,28740, SelfDown,6, 
12-21-2022-23-05-28.618,1, 0.4309454,0.038856,65520, SelfDown,3, 
12-21-2022-23-05-28.722,1, 0.3446365,0.03718,1170432, SelfUp,1, 
12-21-2022-23-05-29.033,1, 0.0377896,0.035934,1170432, SelfUp,7, 
12-21-2022-23-05-28.828,1, 0.2441242,0.037192,93440, SelfDown,2, 
12-21-2022-23-05-28.930,1, 0.1426751,0.036546,65520, SelfDown,4, 
12-21-2022-23-05-29.033,1, 0.0408379,0.037108,492941, SelfUp,4, 
12-21-2022-23-05-28.930,1, 0.1448189,0.037243,65520, SelfDown,5, 
12-21-2022-23-05-28.930,1, 0.1448189,0.03521,102369, SelfDown,0, 
12-21-2022-23-05-28.722,1, 0.3542263,0.039004,65520, SelfDown,3, 
12-21-2022-23-05-28.828,1, 0.2482988,0.039004,65520, SelfDown,3, 
12-21-2022-23-05-29.033,1, 0.0447727,0.032825,737792, SelfUp,2, 
12-21-2022-23-05-28.930,1, 0.1473195,0.036562,40881, SelfDown,1, 
12-21-2022-23-05-29.033,1, 0.0457778,0.036562,40881, SelfDown,1, 
12-21-2022-23-05-28.828,1, 0.2697536,0.037124,1170432, SelfUp,1, 
12-21-2022-23-05-28.930,1, 0.1674321,0.037124,1170432, SelfUp,1, 
12-21-2022-23-05-29.033,1, 0.0648853,0.037124,1170432, SelfUp,1, 
12-21-2022-23-05-29.033,1, 0.0764666,0.037756,276103, SelfUp,6, 
12-21-2022-23-05-28.930,1, 0.1790134,0.037756,276103, SelfUp,6, 
12-21-2022-23-05-28.930,1, 0.1805201,0.036522,30259, SelfDown,6, 
12-21-2022-23-05-28.930,1, 0.1805201,0.034071,89507, SelfDown,7, 
12-21-2022-23-05-29.033,1, 0.0779733,0.034071,89507, SelfDown,7, 
12-21-2022-23-05-29.033,1, 0.0799734,0.034765,102372, SelfDown,0, 
12-21-2022-23-05-29.033,1, 0.1088681,0.036811,65520, SelfDown,5, 
12-21-2022-23-05-28.930,1, 0.2118948,0.036952,96256, SelfDown,2, 
12-21-2022-23-05-29.033,1, 0.117782,0.036114,66304, SelfDown,4, 
12-21-2022-23-05-28.828,1, 0.3269721,0.035896,18504, SelfDown,8, 
12-21-2022-23-05-28.930,1, 0.2246506,0.035896,18504, SelfDown,8, 
12-21-2022-23-05-29.134,1, 0.0346637,0.034453,1170432, SelfUp,7, 
12-21-2022-23-05-29.134,1, 0.0346637,0.033967,1170432, SelfUp,1, 
12-21-2022-23-05-29.134,1, 0.0358667,0.034911,341918, SelfUp,6, 
12-21-2022-23-05-29.033,1, 0.1593317,0.036845,96256, SelfDown,2, 
12-21-2022-23-05-29.033,1, 0.1807471,0.03714,65520, SelfDown,3, 
12-21-2022-23-05-29.134,1, 0.1066578,0.033061,45187, SelfDown,1, 
12-21-2022-23-05-29.033,1, 0.2283288,0.03606,31777, SelfDown,6, 
12-21-2022-23-05-29.236,1, 0.0347998,0.035149,1170432, SelfUp,7, 
12-21-2022-23-05-28.930,1, 0.3471007,0.036962,65520, SelfDown,3, 
12-21-2022-23-05-29.134,1, 0.1486312,0.035788,66304, SelfDown,4, 
12-21-2022-23-05-29.134,1, 0.1561413,0.034535,98048, SelfDown,7, 
12-21-2022-23-05-29.134,1, 0.1663583,0.048097,493981, SelfUp,4, 
12-21-2022-23-05-29.236,1, 0.0649928,0.048097,493981, SelfUp,4, 
12-21-2022-23-05-29.033,1, 0.287691,0.036414,18858, SelfDown,8, 
12-21-2022-23-05-29.134,1, 0.2218124,0.034116,105417, SelfDown,0, 
12-21-2022-23-05-29.336,1, 0.0336045,0.035588,1170432, SelfUp,7, 
12-21-2022-23-05-29.336,1, 0.0336045,0.041709,496742, SelfUp,4, 
12-21-2022-23-05-29.134,1, 0.25687,0.035828,36434, SelfDown,6, 
12-21-2022-23-05-29.134,1, 0.2612636,0.036454,65520, SelfDown,3, 
12-21-2022-23-05-29.134,1, 0.285986,0.036074,65520, SelfDown,5, 
12-21-2022-23-05-29.236,1, 0.1918222,0.033687,108237, SelfDown,0, 
12-21-2022-23-05-29.134,1, 0.2956325,0.036043,96256, SelfDown,2, 
12-21-2022-23-05-29.236,1, 0.1954844,0.031623,98048, SelfDown,7, 
12-21-2022-23-05-29.134,1, 0.2990821,0.036263,19035, SelfDown,8, 
12-21-2022-23-05-29.336,1, 0.0982171,0.033687,108237, SelfDown,0, 
12-21-2022-23-05-29.236,1, 0.1985832,0.036043,96256, SelfDown,2, 
12-21-2022-23-05-29.134,1, 0.3029927,0.033212,737792, SelfUp,2, 
12-21-2022-23-05-29.236,1, 0.2124433,0.033795,66864, SelfDown,4, 
12-21-2022-23-05-29.336,1, 0.1119807,0.033795,66864, SelfDown,4, 
12-21-2022-23-05-29.236,1, 0.2143955,0.035105,37783, SelfDown,6, 
12-21-2022-23-05-29.336,1, 0.1139329,0.035105,37783, SelfDown,6, 
12-21-2022-23-05-29.236,1, 0.2169301,0.032065,65520, SelfDown,5, 
12-21-2022-23-05-29.336,1, 0.1220016,0.026922,104698, SelfDown,7, 
12-21-2022-23-05-29.336,1, 0.1319563,0.032065,65520, SelfDown,5, 
12-21-2022-23-05-29.336,1, 0.1319563,0.034598,15445, SelfDown,9, 
12-21-2022-23-05-29.235,1, 0.2332543,0.03276,19772, SelfDown,8, 
12-21-2022-23-05-29.235,1, 0.2342983,0.035154,65520, SelfDown,3, 
12-21-2022-23-05-29.236,1, 0.2345879,0.033109,737792, SelfUp,2, 
12-21-2022-23-05-29.336,1, 0.1339322,0.033109,737792, SelfUp,2, 
12-21-2022-23-05-29.437,1, 0.0342123,0.032981,1170432, SelfUp,7, 
12-21-2022-23-05-29.437,1, 0.0342123,0.027769,104735, SelfDown,7, 
12-21-2022-23-05-29.437,1, 0.0361942,0.03365,502713, SelfUp,4, 
12-21-2022-23-05-29.437,1, 0.0400887,0.034633,737792, SelfUp,2, 
12-21-2022-23-05-29.437,1, 0.0440895,0.028159,126699, SelfDown,0, 
12-21-2022-23-05-29.336,1, 0.1478068,0.033965,96256, SelfDown,2, 
12-21-2022-23-05-29.236,1, 0.2507134,0.037254,49428, SelfDown,1, 
12-21-2022-23-05-29.033,1, 0.5123788,0.038701,307213, SelfUp,8, 
12-21-2022-23-05-29.236,1, 0.3168737,0.038915,1170432, SelfUp,1, 
12-21-2022-23-05-29.437,1, 0.1159746,0.034985,65520, SelfDown,5, 
12-21-2022-23-05-29.437,1, 0.1224438,0.035496,68608, SelfDown,4, 
12-21-2022-23-05-29.538,1, 0.0365745,0.035923,507767, SelfUp,4, 
12-21-2022-23-05-29.538,1, 0.0365745,0.035306,737792, SelfUp,2, 
12-21-2022-23-05-29.134,1, 0.4413164,0.034676,347015, SelfUp,8, 
12-21-2022-23-05-29.235,1, 0.3399509,0.034676,347015, SelfUp,8, 
12-21-2022-23-05-29.336,1, 0.2392952,0.034676,347015, SelfUp,8, 
12-21-2022-23-05-29.437,1, 0.1383237,0.034676,347015, SelfUp,8, 
12-21-2022-23-05-29.538,1, 0.0373087,0.034676,347015, SelfUp,8, 
12-21-2022-23-05-29.336,1, 0.2426363,0.036237,1170432, SelfUp,1, 
12-21-2022-23-05-29.437,1, 0.1416648,0.036237,1170432, SelfUp,1, 
12-21-2022-23-05-29.538,1, 0.0406498,0.036237,1170432, SelfUp,1, 
12-21-2022-23-05-29.437,1, 0.163893,0.035517,16429, SelfDown,9, 
12-21-2022-23-05-29.336,1, 0.2732165,0.035146,20299, SelfDown,8, 
12-21-2022-23-05-29.437,1, 0.1739112,0.033522,43073, SelfDown,6, 
12-21-2022-23-05-29.538,1, 0.0739532,0.029983,126725, SelfDown,0, 
12-21-2022-23-05-29.538,1, 0.0748454,0.035517,16429, SelfDown,9, 
12-21-2022-23-05-29.336,1, 0.2768319,0.035832,65520, SelfDown,3, 
12-21-2022-23-05-29.437,1, 0.18162,0.033801,96256, SelfDown,2, 
12-21-2022-23-05-29.538,1, 0.0901826,0.033238,116868, SelfDown,7, 
12-21-2022-23-05-29.336,1, 0.294195,0.034127,53527, SelfDown,1, 
12-21-2022-23-05-29.538,1, 0.0948523,0.032325,65520, SelfDown,5, 
12-21-2022-23-05-29.437,1, 0.2029873,0.037416,54392, SelfDown,1, 
12-21-2022-23-05-29.538,1, 0.1166618,0.037416,54392, SelfDown,1, 
12-21-2022-23-05-29.639,1, 0.0354743,0.034881,737792, SelfUp,2, 
12-21-2022-23-05-29.538,1, 0.1138031,0.035844,65520, SelfUp,9, 
12-21-2022-23-05-29.437,1, 0.1138031,0.035844,65520, SelfUp,9, 
12-21-2022-23-05-29.336,1, 0.1138031,0.035844,65520, SelfUp,9, 
12-21-2022-23-05-29.639,1, 0.0638854,0.035844,65520, SelfUp,9, 
12-21-2022-23-05-29.538,1, 0.1819104,0.034759,68608, SelfDown,4, 
12-21-2022-23-05-29.639,1, 0.0862414,0.035311,514059, SelfUp,4, 
12-21-2022-23-05-28.930,1, 0.8011521,0.046837,738048, SelfUp,5, 
12-21-2022-23-05-29.639,1, 0.099135,0.035877,1170432, SelfUp,1, 
12-21-2022-23-05-29.538,1, 0.217314,0.043822,1170432, SelfUp,7, 
12-21-2022-23-05-29.639,1, 0.1177871,0.043822,1170432, SelfUp,7, 
12-21-2022-23-05-29.033,1, 0.740864,0.046837,738048, SelfUp,5, 
12-21-2022-23-05-29.134,1, 0.639073,0.046837,738048, SelfUp,5, 
12-21-2022-23-05-29.236,1, 0.5377075,0.046837,738048, SelfUp,5, 
12-21-2022-23-05-29.336,1, 0.4370518,0.046837,738048, SelfUp,5, 
12-21-2022-23-05-29.437,1, 0.3360803,0.046837,738048, SelfUp,5, 
12-21-2022-23-05-29.538,1, 0.2345347,0.046837,738048, SelfUp,5, 
12-21-2022-23-05-29.639,1, 0.1350078,0.046837,738048, SelfUp,5, 
12-21-2022-23-05-29.740,1, 0.0441586,0.043805,1170432, SelfUp,7, 
12-21-2022-23-05-29.740,1, 0.0455023,0.042664,1170432, SelfUp,1, 
12-21-2022-23-05-29.740,1, 0.0496997,0.037149,737792, SelfUp,2, 
12-21-2022-23-05-29.740,1, 0.0517125,0.046402,738048, SelfUp,5, 
12-21-2022-23-05-29.740,1, 0.0517125,0.038191,515223, SelfUp,4, 
12-21-2022-23-05-29.740,1, 0.0531287,0.043629,156119, SelfUp,9, 
